date,return
2018-01-03,0.006325231123739394
2018-01-04,0.004215032631984972
2018-01-05,0.006663739858574935
2018-01-08,0.0018287492457935706
2018-01-09,0.0022636964999331877
2018-01-10,-0.0015300936684085054
2018-01-11,0.007296379851484014
2018-01-12,0.006518705878876041
2018-01-16,-0.0034182447100660207
2018-01-17,0.009531416696249462
2018-01-18,-0.001680675698286449
2018-01-19,0.004549694121841252
2018-01-22,0.008130988601103173
2018-01-23,0.0021222796614284167
2018-01-24,-0.0003883307909455791
2018-01-25,0.0004240146254212984
2018-01-26,0.011577497679892801
2018-01-29,-0.006629782791269245
2018-01-30,-0.010256947185376286
2018-01-31,0.0004967164861950923
2018-02-01,-0.0011347970618795777
2018-02-02,-0.021770269635525863
2018-02-05,-0.04182248726168403
2018-02-06,0.019702296640456085
2018-02-07,-0.005424917850849309
2018-02-08,-0.037509036267534546
2018-02-09,0.015021603092178593
2018-02-12,0.014684386256270221
2018-02-13,0.0024876061140455263
2018-02-14,0.013496181427884224
2018-02-15,0.012760124537071205
2018-02-16,0.0002930583296256728
2018-02-20,-0.006261495276293716
2018-02-21,-0.004973883274689173
2018-02-22,0.0012959902728064687
2018-02-23,0.01593910828027112
2018-02-26,0.011612130619665706
2018-02-27,-0.012486006691405094
2018-02-28,-0.010130310752364813
2018-03-01,-0.014540939946378173
2018-03-02,0.0051550050384960855
2018-03-05,0.011557989838601568
2018-03-06,0.002534889023971143
2018-03-07,-0.00036620758090244454
2018-03-08,0.0048391335117885514
2018-03-09,0.017402520302803648
2018-03-12,-0.0012552490358413992
2018-03-13,-0.006462660199309522
2018-03-14,-0.0051317955586417385
2018-03-15,-0.0010895933348791242
2018-03-16,0.0010841805701009566
2018-03-19,-0.01353001240260554
2018-03-20,0.0017006810299962094
2018-03-21,-0.001919535106811865
2018-03-22,-0.024996981725301848
2018-03-23,-0.02131464183610321
2018-03-26,0.027358944466651325
2018-03-27,-0.017011450501919545
2018-03-28,-0.00295490196350523
2018-03-29,0.012777508372281199
2018-04-02,-0.021584553844446464
2018-04-03,0.012816978369727172
2018-04-04,0.010699140468506174
2018-04-05,0.007891861865368055
2018-04-06,-0.02228575781099329
2018-04-09,0.004928329997544889
2018-04-10,0.01590046977176196
2018-04-11,-0.005242464128295321
2018-04-12,0.00822739493552227
2018-04-13,-0.00293317018732997
2018-04-16,0.00822173619069999
2018-04-17,0.010698506092087667
2018-04-18,0.0007404525721581567
2018-04-19,-0.005547756843035878
2018-04-20,-0.008479523194208416
2018-04-23,-0.00014978197325188347
2018-04-24,-0.013467474710412097
2018-04-25,0.0024716295612290384
2018-04-26,0.010165550014461733
2018-04-27,0.0009389540216440118
2018-04-30,-0.0076907662096221685
2018-05-01,0.0017769543698689105
2018-05-02,-0.0067171840219102386
2018-05-03,-0.0022039998209949507
2018-05-04,0.012946208647325097
2018-05-07,0.0033835576189049643
2018-05-08,0.0
2018-05-09,0.009665812866637147
2018-05-10,0.009350728150687049
2018-05-11,0.003051211919673724
2018-05-14,0.00047655793770018384
2018-05-15,-0.0068870224515821254
2018-05-16,0.004205040789549974
2018-05-17,-0.0008446847198786411
2018-05-18,-0.0025003648053522065
2018-05-21,0.007518691057632365
2018-05-22,-0.0027799565960914263
2018-05-23,0.002751069172410192
2018-05-24,-0.0020485700074232005
2018-05-25,-0.0023826585181840887
2018-05-29,-0.01150097739705247
2018-05-30,0.013344763032808293
2018-05-31,-0.0061261065043785035
2018-06-01,0.009817811848185087
2018-06-04,0.004751319938720133
2018-06-05,0.0007273277149131285
2018-06-06,0.008361162876046269
2018-06-07,-0.00010851007656975664
2018-06-08,0.0029564133900321643
2018-06-11,0.001329745171379182
2018-06-12,0.00129268108585201
2018-06-13,-0.0031910122681659825
2018-06-14,0.0025177010175228
2018-06-15,-0.001275520605903746
2018-06-18,-0.0020569495164015628
2018-06-19,-0.0038327136500294623
2018-06-20,0.0017059098529159655
2018-06-21,-0.00626878414473131
2018-06-22,0.0018232051140760763
2018-06-25,-0.013612900170339115
2018-06-26,0.0022142438957737376
2018-06-27,-0.00828429623783411
2018-06-28,0.005717401104477826
2018-06-29,0.0014397827067864633
2018-07-02,0.002137958617306035
2018-07-03,-0.003531469031968326
2018-07-05,0.008158321557599102
2018-07-06,0.008458187994744959
2018-07-09,0.009004204485028922
2018-07-10,0.0035981394889763596
2018-07-11,-0.007314065192248642
2018-07-12,0.00906567060079988
2018-07-13,0.0007879066877936047
2018-07-16,-0.0008942812964424229
2018-07-17,0.004045204911737432
2018-07-18,0.002103662256129235
2018-07-19,-0.0037715921132461805
2018-07-20,-0.0011426491165362762
2018-07-23,0.0018591511137222572
2018-07-24,0.005032253138405274
2018-07-25,0.008522484636133365
2018-07-26,-0.0023592661466614873
2018-07-27,-0.006775984651435474
2018-07-30,-0.005223826090463235
2018-07-31,0.004929522222745453
2018-08-01,-0.0016706190717351577
2018-08-02,0.005447814529299988
2018-08-03,0.0042844689215735254
2018-08-06,0.003667088675541663
2018-08-07,0.003302263866602262
2018-08-08,-0.0004200235181954781
2018-08-09,-0.0013661154601776193
2018-08-10,-0.006700224417256595
2018-08-13,-0.0037434397326605584
2018-08-14,0.006380929236417199
2018-08-15,-0.007467845818861951
2018-08-16,0.008091780172778007
2018-08-17,0.003520231918889616
2018-08-20,0.002139730666965045
2018-08-21,0.002345377635324386
2018-08-22,-0.000593488900506256
2018-08-23,-0.0013278011977587711
2018-08-24,0.0060184708082600125
2018-08-27,0.007895390061724239
2018-08-28,0.00048285589443275434
2018-08-29,0.005380872335196907
